principal,level,layer,auroc,lo,hi,null_mean,null_p95
veltara,L0,14,1.0,0.9999999999999999,1.0,0.47553124999999996,0.5758125000000001
veltara,L1,14,1.0,0.9999999999999999,1.0,0.493375,0.63134375
veltara,L2,14,1.0,0.9999999999999999,1.0,0.461,0.5552812500000001
veltara,L3,14,1.0,0.9999999999999999,1.0,0.47946874999999994,0.6026562499999999
arkwright,L0,14,1.0,0.9999999999999999,1.0,0.48656250000000006,0.58996875
arkwright,L1,14,1.0,0.9999999999999999,1.0,0.49953125,0.62403125
arkwright,L2,14,1.0,0.9999999999999999,1.0,0.45221874999999995,0.52725
arkwright,L3,14,1.0,0.9999999999999999,1.0,0.47943749999999996,0.6036250000000001
moreau,L0,14,1.0,0.9999999999999999,1.0,0.47062499999999996,0.5925000000000001
moreau,L1,14,1.0,0.9999999999999999,1.0,0.500375,0.65125
moreau,L2,14,1.0,0.9999999999999999,1.0,0.4519375,0.5256875000000001
moreau,L3,14,1.0,0.9999999999999999,1.0,0.4814375,0.60346875
